"Year","Major","Champion","Seed_Champion","Ctry_Champion","Runner-up","Seed_Runner-up","Ctry_Runner-up","Score in the Final"
2008,1,"Maria Sharapova",5,"RUS","Ana Ivanovic",4,"SRB","7–5, 6–3"
2008,2,"Ana Ivanovic",2,"SRB","Dinara Safina",13,"RUS","6–4, 6–3"
2008,3,"Venus Williams",7,"USA","Serena Williams",6,"USA","7–5, 6–4"
2008,4,"Serena Williams",4,"USA","Jelena Janković",2,"SRB","6–4, 7–5"
2009,1,"Serena Williams",2,"USA","Dinara Safina",3,"RUS","6–0, 6–3"
2009,2,"Svetlana Kuznetsova",7,"RUS","Dinara Safina",1,"RUS","6–4, 6–2"
2009,3,"Serena Williams",2,"USA","Venus Williams",3,"USA","7–6(7–3), 6–2"
2009,4,"Kim Clijsters",0,"BEL","Caroline Wozniacki",9,"DEN","7–5, 6–3"
2010,1,"Serena Williams",1,"USA","Justine Henin",0,"BEL","6–4, 3–6, 6–2"
2010,2,"Francesca Schiavone",17,"ITA","Samantha Stosur",7,"AUS","6–4, 7–6(7–2)"
2010,3,"Serena Williams",1,"USA","Vera Zvonareva",21,"RUS","6–3, 6–2"
2010,4,"Kim Clijsters",2,"BEL","Vera Zvonareva",7,"RUS","6–2, 6–1"
2011,1,"Kim Clijsters",3,"BEL","Li Na",9,"CHN","3–6, 6–3, 6–3"
2011,2,"Li Na",6,"CHN","Francesca Schiavone",5,"ITA","6–4, 7–6(7–0)"
2011,3,"Petra Kvitová",8,"CZE","Maria Sharapova",5,"RUS","6–3, 6–4"
2011,4,"Samantha Stosur",9,"AUS","Serena Williams",28,"USA","6–2, 6–3"
2012,1,"Victoria Azarenka",3,"BLR","Maria Sharapova",4,"RUS","6–3, 6–0"
2012,2,"Maria Sharapova",2,"RUS","Sara Errani",21,"ITA","6–3, 6–2"
2012,3,"Serena Williams",3,"USA","Agnieszka Radwańska",6,"POL","6–1, 5–7, 6–2"
2012,4,"Serena Williams",4,"USA","Victoria Azarenka",1,"BLR","6–2, 2–6, 7–5"
2013,1,"Victoria Azarenka",1,"BLR","Li Na",6,"CHN","4–6, 6–4, 6–3"
2013,2,"Serena Williams",1,"USA","Maria Sharapova",2,"RUS","6–4, 6–4"
2013,3,"Marion Bartoli",15,"FRA","Sabine Lisicki",23,"GER","6–1, 6–4"
2013,4,"Serena Williams",1,"USA","Victoria Azarenka",2,"BLR","7–5, 6–7(6–8), 6–1"
2014,1,"Li Na",4,"CHN","Dominika Cibulková",20,"SVK","7–6(7–3), 6–0"
2014,2,"Maria Sharapova",7,"RUS","Simona Halep",4,"ROU","6–4, 6–7(5–7), 6–4"
2014,3,"Petra Kvitová",6,"CZE","Eugenie Bouchard",13,"CAN","6–3, 6–0"
2014,4,"Serena Williams",1,"USA","Caroline Wozniacki",10,"DEN","6–3, 6–3"
2015,1,"Serena Williams",1,"USA","Maria Sharapova",2,"RUS","6–3, 7–6(7–5)"
2015,2,"Serena Williams",1,"USA","Lucie Šafářová",13,"CZE","6–3, 6–7(2–7), 6–2"
2015,3,"Serena Williams",1,"USA","Garbiñe Muguruza",20,"ESP","6–4, 6–4"
2015,4,"Flavia Pennetta",26,"ITA","Roberta Vinci",0,"ITA","7–6(7–4), 6–2"
2016,1,"Angelique Kerber",7,"GER","Serena Williams",1,"USA","6–4, 3–6, 6–4"
2016,2,"Garbiñe Muguruza",4,"ESP","Serena Williams",1,"USA","7–5, 6–4"
2016,3,"Serena Williams",1,"USA","Angelique Kerber",4,"GER","7–5, 6–3"
2016,4,"Angelique Kerber",2,"GER","Karolína Plíšková",10,"CZE","6–3, 4–6, 6–4"
2017,1,"Serena Williams",2,"USA","Venus Williams",13,"USA","6–4, 6–4"
2017,2,"Jeļena Ostapenko",0,"LAT","Simona Halep",3,"ROU","4–6, 6–4, 6–3"
2017,3,"Garbiñe Muguruza",14,"ESP","Venus Williams",10,"USA","7–5, 6–0"
2017,4,"Sloane Stephens",0,"USA","Madison Keys",15,"USA","6–3, 6–0"
2018,1,"Carolina Wozniacki",2,"DEN","Simona Halep",1,"ROU","7-6(7-2), 3-6, 6-4"
2018,2,"Simona Halep",1,"ROU","Sloane Stephens",10,"USA","3-6, 6-4, 6-1"
2018,3,"Angelique Kerber",11,"GER","Serena Williams",25,"USA","6-3, 6-3"
2018,4,"Naomi Osaka",20,"JPN","Serena Williams",17,"USA","6-2, 6-4"
2019,1,"Naomi Osaka",4,"JPN","Petra Kvitova",8,"CZE","7-6(7-2), 5-7, 6-4"
2019,2,"Ashleigh Barty",8,"AUS","Markéta Vondroušová",0,"CZE","6-1, 6-3"
2019,3,"Simona Halep",7,"ROU","Serena Williams",11,"USA","6-2, 6-2"
2019,4,"Bianca Andreescu",15,"CAN","Serena Williams",8,"USA","6-3, 7-5"
2020,1,"Sofia Kenin",14,"USA","Garbiñe Muguruza",0,"ESP","4-6, 6-2, 6-2"
2020,2,"Iga Świątek",0,"POL","Sofia Kenin",4,"USA","6-4, 6-1"
2020,4,"Naomi Osaka",4,"JPN","Victoria Azarenka",0,"BLR","1-6, 6-3, 6-3" 
2021,1,"Naomi Osaka",3,"JPN","Jennifer Brady",22,"USA","6-4, 6-3"
